City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Atuona,PF,78.22,broken clouds,-9.8,-139.0333,Villa Enata
4,Rikitea,PF,78.62,clear sky,-23.1203,-134.9692,Pension Maro'i
5,Mahebourg,MU,80.6,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
7,Vaini,TO,80.6,moderate rain,-21.2,-175.2,Keleti Beach Resort
8,Nieuw Amsterdam,SR,75.99,scattered clouds,5.8833,-55.0833,Hotel Stardust
11,New Norfolk,AU,77.0,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
14,Touros,BR,78.8,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
15,Georgetown,MY,82.4,few clouds,5.4112,100.3354,Cititel Penang
16,Puerto Madryn,AR,73.51,broken clouds,-42.7692,-65.0385,Hotel Tolosa
23,Loandjili,CG,78.51,light rain,-4.7561,11.8578,Résidence ARCHANGE
24,Cabedelo,BR,75.2,clear sky,-6.9811,-34.8339,Hotel Pigalle
28,Busselton,AU,81.0,clear sky,-33.65,115.3333,Observatory Guest House
30,Conde,BR,75.2,clear sky,-7.2597,-34.9075,Pousada Beija Flor
32,Port Blair,IN,80.33,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
35,Lorengau,PG,85.41,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
37,Bengkulu,ID,84.42,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
40,Hobart,AU,77.0,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
44,Koungou,YT,82.4,moderate rain,-12.7336,45.2042,Villa Netibor
46,Vila Velha,BR,75.0,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
54,Saint-Joseph,RE,84.2,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
56,Puerto Ayora,EC,75.99,scattered clouds,-0.7393,-90.3518,Castillo Galapagos
58,Avarua,CK,84.2,scattered clouds,-21.2078,-159.775,Paradise Inn
61,Poum,NC,79.65,broken clouds,-20.2333,164.0167,Gîte kajeon
62,Esperance,AU,78.8,clear sky,-33.8667,121.9,Hospitality Esperance
63,Tabou,CI,78.08,broken clouds,4.423,-7.3528,hotêl doufoulougou
68,Hithadhoo,MV,81.75,few clouds,-0.6,73.0833,Scoop Guest House
73,Hobyo,SO,77.56,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
79,Arraial Do Cabo,BR,75.13,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
88,Namatanai,PG,85.03,broken clouds,-3.6667,152.4333,Namatanai Hotel
93,Kapaa,US,75.2,scattered clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
94,Ipixuna,BR,75.2,broken clouds,-1.7625,-48.8043,Casa da Oscarina
97,Carnarvon,AU,82.4,clear sky,-24.8667,113.6333,Hospitality Carnarvon
99,Faanui,PF,81.39,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
101,Sibolga,ID,84.42,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
102,Zaraza,VE,73.74,overcast clouds,9.3503,-65.3245,Hotel Zaraza
108,Saint-Philippe,RE,84.2,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
113,Samarai,PG,86.61,light rain,-10.6167,150.6667,Nuli Sapi
116,Airai,TL,73.9,few clouds,-8.9266,125.4092,Juvinal Martin
119,Tebingtinggi,ID,84.2,scattered clouds,3.3285,99.1625,Hotel Malibou tebing tinggi
124,Padang,ID,87.8,few clouds,-0.9492,100.3543,Mercure Padang
133,Santa Fe,AR,79.0,clear sky,-31.6333,-60.7,Conquistador Hotel
134,Banda Aceh,ID,81.1,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
139,San Rafael,AR,79.61,clear sky,-34.6177,-68.3301,Hotel San Rafael
141,Caravelas,BR,73.98,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
142,Sungaipenuh,ID,77.81,overcast clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
145,Teahupoo,PF,87.8,broken clouds,-17.8333,-149.2667,Vanira Lodge
150,Araioses,BR,74.55,overcast clouds,-2.89,-41.9031,Pousada Vale do magu
152,Babahoyo,EC,78.8,moderate rain,-1.8167,-79.5167,CASA LOS VERGARA
153,Cidreira,BR,72.7,overcast clouds,-30.1811,-50.2056,Hotel Castelo
161,Itarema,BR,77.34,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
168,Tamandare,BR,76.86,light rain,-8.7597,-35.1047,Pousada 100 Passos
171,Souillac,MU,80.6,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
173,Kahului,US,75.2,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
176,Kavieng,PG,83.55,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
179,Atambua,ID,83.53,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
183,Codrington,AU,76.19,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
185,Itapolis,BR,74.26,overcast clouds,-21.5956,-48.8128,Hotel dos Viajantes
