City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Upernavik,GL,2021-01-19 02:13:58,72.7868,-56.1549,7.07,78,10,7.83
1,Niort,FR,2021-01-19 02:09:18,46.3333,-0.3333,34.0,88,96,8.5
2,Luderitz,NA,2021-01-19 02:13:58,-26.6481,15.1594,64.92,84,49,11.97
3,Rikitea,PF,2021-01-19 02:13:58,-23.1203,-134.9692,78.48,74,72,14.41
4,Saint-Philippe,RE,2021-01-19 02:13:58,-21.3585,55.7679,78.8,69,0,4.61
5,Sal Rei,CV,2021-01-19 02:13:58,16.1833,-22.9167,69.8,68,100,18.41
6,Provideniya,RU,2021-01-19 02:13:58,64.3833,-173.3,-4.0,71,75,13.42
7,Santa Rosa,PH,2021-01-19 02:13:59,14.3122,121.1114,82.0,74,75,2.3
8,Faanui,PF,2021-01-19 02:13:59,-16.4833,-151.75,80.85,77,4,15.46
9,Ponta Delgada,PT,2021-01-19 02:09:02,37.7333,-25.6667,61.0,82,75,18.41
10,Qaanaaq,GL,2021-01-19 02:13:59,77.484,-69.3632,4.05,83,89,6.78
11,Maceio,BR,2021-01-19 02:13:59,-9.6658,-35.7353,73.4,94,40,4.61
12,Cape Town,ZA,2021-01-19 02:13:59,-33.9258,18.4232,68.0,88,0,10.36
13,Panguna,PG,2021-01-19 02:13:59,-6.3164,155.4848,83.52,61,85,3.27
14,Kodiak,US,2021-01-19 02:13:59,57.79,-152.4072,39.2,60,90,16.11
15,Havre-Saint-Pierre,CA,2021-01-19 02:12:37,50.2334,-63.5986,23.0,86,90,13.8
16,Georgetown,MY,2021-01-19 02:13:59,5.4112,100.3354,78.8,78,20,2.3
17,Da Nang,VN,2021-01-19 02:13:31,16.0678,108.2208,66.2,72,75,1.52
18,Erenhot,CN,2021-01-19 02:14:00,43.6475,111.9767,7.14,90,35,4.27
19,San Policarpo,PH,2021-01-19 02:14:00,12.1791,125.5072,78.39,90,100,15.95
20,Hermanus,ZA,2021-01-19 02:12:19,-34.4187,19.2345,61.0,92,46,4.12
21,La Palma,US,2021-01-19 02:14:00,33.8464,-118.0467,64.99,100,20,6.91
22,Castro,BR,2021-01-19 02:14:00,-24.7911,-50.0119,65.37,97,100,10.2
23,Isangel,VU,2021-01-19 02:14:00,-19.55,169.2667,87.8,74,75,9.22
24,Nikolskoye,RU,2021-01-19 02:14:00,59.7035,30.7861,21.2,86,90,2.24
25,Dikson,RU,2021-01-19 02:14:00,73.5069,80.5464,-20.36,85,4,21.56
26,Chumikan,RU,2021-01-19 02:14:00,54.7183,135.315,-20.22,75,0,27.94
27,Chuy,UY,2021-01-19 02:12:23,-33.6971,-53.4616,61.23,76,0,4.81
28,Ushuaia,AR,2021-01-19 02:09:25,-54.8,-68.3,50.0,76,40,4.61
