City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Khandbari,NP,27.3747,87.2039,55.29,59,54,0.69,broken clouds
1,Marcali,HU,46.585,17.412,46.4,71,0,19.57,clear sky
2,Atuona,PF,-9.8,-139.0333,78.22,77,59,15.43,broken clouds
3,Williston,US,48.147,-103.618,30.99,60,0,5.01,clear sky
4,Rikitea,PF,-23.1203,-134.9692,78.62,75,0,16.02,clear sky
5,Mahebourg,MU,-20.4081,57.7,80.6,83,75,6.91,broken clouds
6,Mar Del Plata,AR,-38.0023,-57.5575,71.01,83,0,6.91,clear sky
7,Vaini,TO,-21.2,-175.2,80.6,94,90,13.8,moderate rain
8,Nieuw Amsterdam,SR,5.8833,-55.0833,75.99,89,31,7.34,scattered clouds
9,Hermanus,ZA,-34.4187,19.2345,64.99,83,61,4.0,broken clouds
10,Sioux Lookout,CA,50.1001,-91.917,28.4,93,90,20.71,snow
11,New Norfolk,AU,-42.7826,147.0587,77.0,12,100,3.0,overcast clouds
12,Olafsvik,IS,64.8945,-23.7142,29.64,92,92,34.16,overcast clouds
13,Thompson,CA,55.7435,-97.8558,1.4,85,90,14.97,snow
14,Touros,BR,-5.1989,-35.4608,78.8,83,40,9.22,scattered clouds
15,Georgetown,MY,5.4112,100.3354,82.4,74,20,6.91,few clouds
16,Puerto Madryn,AR,-42.7692,-65.0385,73.51,47,73,19.73,broken clouds
17,Ushuaia,AR,-54.8,-68.3,50.0,76,40,23.02,light rain
18,Salta,AR,-24.7859,-65.4117,66.2,59,0,6.91,clear sky
19,Punta Arenas,CL,-53.15,-70.9167,50.0,66,90,16.11,light rain
20,Chiang Klang,TH,19.2938,100.8617,60.8,82,0,1.86,clear sky
21,Faya,SA,18.3851,42.4509,51.8,66,0,4.61,clear sky
22,Mataura,NZ,-46.1927,168.8643,53.01,83,97,18.99,overcast clouds
23,Loandjili,CG,-4.7561,11.8578,78.51,85,93,8.81,light rain
24,Cabedelo,BR,-6.9811,-34.8339,75.2,88,0,2.3,clear sky
25,Surt,LY,31.2089,16.5887,51.51,61,42,14.83,scattered clouds
26,Richards Bay,ZA,-28.783,32.0377,70.3,84,15,5.41,few clouds
27,Porosozero,RU,62.7191,32.727,5.18,95,82,5.39,broken clouds
28,Busselton,AU,-33.65,115.3333,81.0,57,0,4.0,clear sky
29,Isilkul,RU,54.9109,71.2728,-6.99,91,82,10.85,broken clouds
30,Conde,BR,-7.2597,-34.9075,75.2,88,0,2.3,clear sky
31,Zalantun,CN,48.0,122.7167,11.1,83,100,1.57,overcast clouds
32,Port Blair,IN,11.6667,92.75,80.33,56,0,7.36,clear sky
33,Marquette,US,46.5333,-87.6335,19.4,79,90,16.11,light snow
34,Luderitz,NA,-26.6481,15.1594,65.48,81,78,4.43,broken clouds
35,Lorengau,PG,-2.0226,147.2712,85.41,64,82,9.13,broken clouds
36,Mao,ES,39.8885,4.2658,55.4,88,75,9.22,broken clouds
37,Bengkulu,ID,-3.8004,102.2655,84.42,64,100,4.92,overcast clouds
38,Meadow Lake,US,34.8014,-106.5436,33.8,80,75,4.61,broken clouds
39,Ilulissat,GL,69.2167,-51.1,21.2,53,64,4.36,broken clouds
40,Hobart,AU,-42.8794,147.3294,77.0,52,75,11.5,broken clouds
41,Plyussa,RU,58.4308,29.3654,13.64,96,100,7.9,snow
42,Husavik,IS,66.0449,-17.3389,32.0,93,90,14.97,snow
43,Nehe,CN,48.4833,124.8333,2.71,87,88,3.36,overcast clouds
44,Koungou,YT,-12.7336,45.2042,82.4,78,75,18.41,moderate rain
45,Rincon,US,32.296,-81.2354,52.0,49,20,3.85,few clouds
46,Vila Velha,BR,-20.3297,-40.2925,75.0,94,40,3.44,scattered clouds
47,Wakkanai,JP,45.4094,141.6739,33.8,75,75,24.16,light snow
48,Jamestown,US,42.097,-79.2353,19.99,79,90,9.22,overcast clouds
49,Magenta,IT,45.4646,8.8826,37.0,95,100,1.23,light rain
